centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
AF100-30_4,5260071.93,5708063.932,-11,,,,-28,-34,-32,-16,,,,,,,,,-23,,,,
AF100-30_2,5255275.104,5659371.822,-11,,,,-28,-34,-32,-16,,,,,,,,,-24,,,,
ArL100-40_1,5730489.888,6087877.466,,22,,,-5,-2,-10,-5,,,,-11,51,,,,,,,,
F100-0_1,5304582.023,5687783.2,,,,,,,,,,,,,,,,,-38,,,,
F100-30_1,5304662.623,5642035.807,-12,,,,-39,-49,-44,-20,,,,,,,,,-40,,,,
F100-30_2,5299828.434,5518474.571,,,,,,,,,,,,,,,,,-45,,,,
F100-40_22,5409638.081,5957120.18,,16,,,-12,-6,-16,-12,,,,-9,45,,,,,,,,
F100-35_22,5370372.031,5907048.435,12,,,,-16,-24,-31,-5,,,,-27,,48,,,,,,,
F100-35_36,5445082.314,5844589.584,36,,,,10,1,-6,20,,,,0,,64,,,,,,,
F100-35_25,5243963.189,6190756.179,,,,,6,11,8,-6,,,,-8,,,42,4,,,34,,
F100-35_41,5538349.001,5982664.776,15,,,,-9,-16,-22,0,,,,-15,,44,,,,,,,
F100-55_10,5329544.227,5719554.041,-9,,,,-36,-46,-42,-18,,,,-55,,,,,,,,,
F100-55_11,5637372.454,5851836.925,39,,,,15,7,0,24,,,,5,,65,,,,,,,
F100-50_10,5413688.876,6012415.097,,15,,,-13,-7,-18,-14,,,,-9,44,,,,,,,,
F100-35_29,5402222.967,5959543.797,,17,,,-11,-5,-16,-12,,,,-9,46,,,,,,,,
F100-40_9,5259276.041,5781924.605,17,,,,-15,-24,-23,7,,,,-33,,,,,,,,,
F100-55_8,5405043.564,5710348.419,11,,,,-17,-25,-32,-6,,,,-30,,46,,,,,,,
F100-35_24,5365346.995,5863387.349,11,,,,-17,-25,-32,-6,,,,-31,,47,,,,,,,
F100-50_15,5667768.854,6010615.516,,2,,,-23,-21,-28,-23,,,,-27,29,,,,,,,,
F100-50_16,5628054.574,6083223.688,,2,,,-24,-22,-29,-23,,,,-31,29,,,,,,,,
F100-40_24,5237586.423,6131937.636,,,,,0,2,-1,-9,,,,-16,,,43,3,,,34,,
F100-30_3,5288725.219,5578609.134,-30,,,,-49,-57,-53,-36,,,,,,,,,-50,,,,
F100-55_9,5373009.535,6182900.723,,,,,-1,4,1,-12,,,,-17,,,44,0,,,35,,
F100-55_37,5245126.835,6180043.975,,,,,3,7,4,-8,,,,-11,,,41,2,,,32,,
F100-35_26,5589401.898,5999768.953,10,,,,-13,-21,-27,-4,,,,-21,,40,,,,,,,
F100-35_27,5582188.556,6050917.846,,6,,,-21,-16,-26,-21,,,,-21,33,,,,,,,,
F100-40_25,5567318.604,5831050.015,36,,,,10,1,-7,20,,,,0,,65,,,,,,,
F100-40_13,5352985.419,6122227.136,,,,,-6,-1,-4,-15,,,,-20,,,39,-2,,,30,,
F100-40_16,5694062.948,5826909.904,43,,,,22,15,8,29,,,,15,,66,,,,,,,
F100-50_12,5436064.151,6057289.911,,,,,-11,-3,-7,-21,,,,-16,,,32,-9,,,23,,
F100-35_28,5464389.365,5920832.831,16,,,,-9,-17,-23,0,,,,-14,,46,,,,,,,
F100-40_14,5323755.985,6036613.839,,,,,-7,-2,-4,-17,,,,-21,,,34,-7,,,25,,
F100-40_15,5262842.584,5861106.024,,4,,,-12,-20,-25,-6,,,,-26,56,,,,,,26,,
F100-30_13,5783911.173,5944384.182,66,,,,47,41,34,53,,,,48,,83,,,,,,,
F100-55_12,5603942.929,5914217.908,26,,,,1,-7,-14,10,,,,-8,,56,,,,,,,
F100-40_10,5255219.105,6006043.329,,46,,,31,23,18,37,,,,17,88,,,,,,64,,
F100-50_13,5433169.533,5719969.185,37,,,,9,0,-9,20,,,,-4,,68,,,,,,,
F100-30_4,5276242.52,5482169.678,-8,,,,-30,-38,-35,-15,,,,,,,,,-30,,,,
F100-50_14,5739326.905,5883735.415,65,,,,47,41,34,52,,,,49,,81,,,,,,,
FA100-35_36,5259840.778,6169107.298,,,,,-1,5,3,-11,,,,-10,,,27,-5,,,21,,
FA100-30_27,5271802.178,5613772.358,-17,,,,-39,-47,-44,-23,,,,,,,,,-39,,,,
FA100-30_11,5378926.874,5993171.54,,5,,,-18,-12,-21,-19,,,,-15,27,,,,,,,,
FA100-30_7,5371617.169,5974599.181,,7,,,-16,-11,-20,-17,,,,-14,30,,,,,,,,
FA100-30_34,5303181.205,5907014.832,,-5,,,-19,-25,-30,-14,,,,-23,37,,,,,,12,,
FA100-30_35,5733084.67,6002542.679,,-3,,,-24,-21,-28,-23,,,,-23,18,,,,,,,,
FA100-35_35,5212162.247,6104997.335,,,,,6,9,6,-2,,,,-7,,,39,6,,,32,,
FA100-35_1,5214753.44,5587599.641,-27,,,,-46,-52,-50,-33,,,,,,,,,-46,,,,
FA100-50_12,5376671.713,6170252.382,,,,,-15,-10,-12,-23,,,,-22,,,19,-14,,,12,,
FA100-35_33,5528313.773,6073621.129,,-1,,,-22,-17,-25,-23,,,,-20,21,,,,,,,,
FA100-50_15,5355721.126,6126251.296,,,,,-11,-5,-8,-20,,,,-18,,,22,-11,,,15,,
FA100-35_47,5732375.119,5838236.899,26,,,,9,4,-2,14,,,,9,,43,,,,,,,
FA100-50_16,5463865.077,6061393.323,,,,,-17,-11,-13,-25,,,,-21,,,15,-16,,,9,,
FA100-40_6,5354701.951,6058247.802,,,,,-17,-11,-12,-25,,,,-25,,,14,-19,,,7,,
FA100-35_34,5276915.202,5890975.333,,0,,,-14,-20,-26,-9,,,,-19,45,,,,,,20,,
FA100-30_31,5747914.221,6072387.359,,-7,,,-29,-26,-33,-28,,,,-29,15,,,,,,,,
FA100-30_8,5258137.551,5999357.406,,35,,,23,17,12,28,,,,18,71,,,,,,50,,
FA100-35_3,5221185.75,5542897.54,-21,,,,-41,-47,-45,-28,,,,,,,,,-41,,,,
FA100-35_50,5286333.811,5614631.397,-17,,,,-39,-47,-44,-23,,,,,,,,,-39,,,,
FA100-40_7,5366858.3,6220094.28,,,,,-6,1,-2,-15,,,,-12,,,28,-6,,,21,,
FA100-35_51,5229653.021,5888292.572,,-4,,,-18,-24,-28,-13,,,,-27,39,,,,,,14,,
FA100-30_2,5199637.448,5903298.165,,15,,,-2,-9,-15,4,,,,-13,62,,,,,,35,,
FA100-35_52,5325112.585,5697291.53,-13,,,,-36,-44,-41,-20,,,,-49,,,,,,,,,
FA100-30_25,5370158.313,5947707.889,,6,,,-18,-12,-21,-20,,,,-16,29,,,,,,,,
FA100-30_3,5230465.545,5805824.315,,-6,,,-19,-26,-29,-14,,,,,37,,,,-2,,11,,
FA100-30_26,5299873.394,5920555.825,,-3,,,-17,-22,-27,-12,,,,-21,39,,,,,,14,,
FA100-30_6,5254805.968,5647525.383,-14,,,,-37,-45,-41,-21,,,,,,,,,-35,,,,
FA100-35_37,5259759.894,5900624.96,,-3,,,-17,-22,-28,-12,,,,-23,42,,,,,,16,,
FA100-30_9,5233877.441,5944214.883,,19,,,6,0,-5,11,,,,1,56,,,,,,34,,
FA100-35_54,5249270.546,5519713.245,-20,,,,-37,-42,-41,-25,,,,,,,,,-36,,,,
FA30-35_2,5212117.541,5874668.648,,-18,,,-25,-19,-25,-26,,,,-20,33,,,,,,-2,,
FA30-35_1,5246527.564,5634678.598,-57,,,,-64,-65,-65,-61,,,,,,,,,-59,,,,
FA50-35_1,5226033.274,5598600.316,-47,,,,-61,-62,-63,-53,,,,,,,,,-54,,,,
